topic,title,description,publishedAt,source,url,sentiment
technology,"AI might be taking over entry-level tasks, but that could be good news for recruits",Letting technology take over mundane tasks can help young hires to move up the ladder faster,2025-04-24T09:00:00Z,The Globe and Mail,https://www.theglobeandmail.com/business/article-ai-might-be-taking-over-entry-level-tasks-but-that-could-be-good-news/,positive
technology,Ofcom sets out new codes of practice to protect children online,"Technology Secretary Peter Kyle calls it a ""watershed moment"" that will help tackle ""lawless, poisonous environments"" and hold social media firms to account.",2025-04-24T09:00:00Z,Sky News,https://news.sky.com/story/ofcom-sets-out-new-codes-of-practice-to-protect-children-online-13354642,positive
technology,Thousands of Asda shoppers complain after 'deeply chilling' change made to stores,"The stores' new live facial recognition technology has had more than 5,000 complaints, the Grocer reports.",2025-04-24T05:12:18Z,Birmingham Live,https://www.birminghammail.co.uk/whats-on/shopping/thousands-asda-shoppers-complain-after-31498719,negative
technology,Inside Disney’s high-tech mission to protect the Great Lizard Cuckoo at Lookout Cay,Combining wildlife biology with modern technology,2025-04-23T21:30:00Z,TechRadar,https://www.techradar.com/tech/inside-disneys-high-tech-mission-to-protect-the-great-lizard-cuckoo-at-lookout-cay,positive
technology,"Renault Opens Design Centre In Chennai, Plans To Launch 5 Cars In India By 2027","Located close to the Renault Nissan Technology & Business Centre India (RNTBCI), this hub will speed up innovation and teamwork across design and engineering departments.",2025-04-23T11:43:26Z,News18,https://www.news18.com/auto/renault-opens-design-centre-in-chennai-aims-to-rethink-its-india-journey-by-2025-9310434.html,positive
technology,Mursla Bio receives FDA breakthrough device designation for EvoLiver test,"Mursla Bio, a leader in Extracellular Vesicle (EV) science on a mission to significantly improve cancer outcomes for at-risk patients through the power of Dynamic Biopsy technology, today announced that the US Food and Drug Administration (FDA) has granted Breakthrough Device Designation to its lead product, EvoLiver™.",2025-04-23T11:42:00Z,News-Medical.net,https://www.news-medical.net/news/20250423/Mursla-Bio-receives-FDA-breakthrough-device-designation-for-EvoLiver-test.aspx,positive
technology,Mandurah business named finalist in national assistive technology supplier awards,"Motobility Mandurah has been named a finalist in the 2025 Assistive Technology Suppliers Australia Awards, which credits outstanding achievements in the assistive technology industry nationwide.",2025-04-23T06:00:00Z,PerthNow,https://www.perthnow.com.au/community-news/mandurah-times/mandurah-business-named-finalist-in-national-assistive-technology-supplier-awards-c-18379123,positive
technology,7NEWS to deliver most comprehensive coverage of the Federal Election: Natalie Barr and Michael Usher to host alongside Hugh Whitfeld and Mark Riley,Natalie Barr and Michael Usher will host as Hugh Whitfeld uses cutting-edge technology to call the election first.,2025-04-23T01:43:49Z,7NEWS.com.au,https://7news.com.au/politics/federal-election/7news-to-deliver-most-comprehensive-coverage-of-the-federal-election-natalie-barr-and-michael-usher-to-host-alongside-hugh-whitfeld-and-mark-riley--c-18458777,positive
technology,"Ukraine war briefing: Chinese making drones in Russia, Zelenskyy says","Technology might be ‘stolen’ and work not approved by Beijing, says president as Ukrainian foreign ministry summons China’s ambassador. What we know on day 1,155",2025-04-23T00:12:51Z,The Guardian,https://www.theguardian.com/world/2025/apr/23/ukraine-war-briefing-chinese-making-drones-in-russia-zelenskyy-says,negative
technology,Federal judge blocks Trump administration from dismantling Voice of America,"The judge denied the request for two other independent networks, Radio Free Europe/Radio Liberty and Open Technology Fund",2025-04-22T20:41:12Z,The Globe and Mail,https://www.theglobeandmail.com/world/article-federal-judge-blocks-trump-administration-from-dismantling-voice-of/,positive
politics,Donald Trump threat to reimpose reciprocal tariffs within weeks reopens economic uncertainty - US politics live,US president says any country that hasn’t signed a deal in the next two or three weeks will be hit by a tariff,2025-04-24T09:56:37Z,The Guardian,https://www.theguardian.com/us-news/live/2025/apr/24/donald-trump-tariffs-white-house-latest-politics-live-news,negative
politics,Politics latest: Starmer to visit deck of aircraft carrier in vow to protect trade routes,The prime minister will be waving off a Royal Navy Carrier Strike Group ahead of it's eight month deployment to the Indo-Pacific as Sir Keir Starmer tries to look on tough on defence and national security.,2025-04-24T07:36:00Z,Sky News,https://news.sky.com/story/politics-latest-starmer-to-visit-deck-of-aircraft-carrier-in-vow-to-protect-trade-routes-12593360,positive
politics,Rachel Reeves in MAGA-Land,👉Listen to Politics at Sam and Anne's on your podcast app👈,2025-04-24T06:40:00Z,Sky News,https://news.sky.com/story/rachel-reeves-in-maga-land-13354617,neutral
politics,Trump news at a glance: president targets diversity at US universities; Trump accuses Zelenskyy of endangering peace deal,Donald Trump signs orders that attack funding and accreditation as his administration pushes to reshape colleges – key US politics stories from 23 April,2025-04-24T02:09:31Z,The Guardian,https://www.theguardian.com/us-news/2025/apr/24/trump-administration-news-updates,negative
politics,Could the local elections reshape British politics?,"Votes for a new MP, several mayors and almost two dozen local authorities are all happening on 1 May.",2025-04-24T02:09:00Z,Sky News,https://news.sky.com/story/could-the-local-elections-reshape-british-politics-13354168,neutral
politics,Politics Insider: Carney will not attend Pope Francis’s funeral given coming election,Governor-General Mary Simon will attend Saturday’s funeral instead,2025-04-23T21:26:28Z,The Globe and Mail,https://www.theglobeandmail.com/politics/article-politics-insider-carney-will-not-attend-pope-franciss-funeral-given/,negative
politics,‘We didn’t talk politics at all’: Andor stars Stellan Skarsgard and Genevieve O’Reilly address the Empire in the room,"Ahead of a second season in which their characters’ political machinations provide the best moments, O’Reilly and Skarsgard tell the Globe why rebellions are built on hope",2025-04-23T21:00:00Z,The Globe and Mail,https://www.theglobeandmail.com/arts/television/article-we-didnt-talk-politics-at-all-andor-stars-stellan-skarsgard-and/,positive
politics,"Over five decades, here's how voters have shifted away from the major parties",This triangle is going to help us explain how Australian politics has fundamentally changed over the past five decades.,2025-04-23T19:30:43Z,ABC News,https://www.abc.net.au/news/2025-04-24/election-data-rise-independents-major-party-drift/105144918,positive
politics,Politics latest: Kemi Badenoch 'will not be Tory leader for very long',"In the first PMQs since the Easter break. Starmer brought up comments made by Robert Jenrick about bringing the Conservatives and Reform into a ""coalition"" to stop them competing for votes. Labour MP Dawn Butler says there is ""palpable"" tension between him and Kemi Badenoch.",2025-04-23T19:29:00Z,Sky News,https://news.sky.com/story/politics-latest-kemi-badenoch-will-not-be-tory-leader-for-very-long-12593360,negative
politics,Politics latest: Kemi Badenoch 'will not be Tory leader at the next election',"In the first PMQs since the Easter break. Starmer brought up comments made by Robert Jenrick about bringing the Conservatives and Reform into a ""coalition"" to stop them competing for votes. Labour MP Dawn Butler says there is ""palpable"" tension between him and Kemi Badenoch.",2025-04-23T18:58:00Z,Sky News,https://news.sky.com/story/politics-latest-kemi-badenoch-will-not-be-tory-leader-at-the-next-election-12593360,negative
